,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,title,firstActor,actorCategory,newRating,primaryName,keys,show_title
9273,tt0097843,Homework,1989,86,DocumentaryDrama,7.8,1574,AbbasKiarostami,AbbasKiarostami,Devoirs du soir,Babak Ahmadpoor,actor,6.219507789568752,BabakAhmadpoor FarhangAkhavan MohammadRezaNematzadeh AbbasKiarostami,documentarydrama abbaskiarostami abbaskiarostami babakahmadpoor farhangakhavan mohammadrezanematzadeh abbaskiarostami,Devoirs du soir (1989)
9274,tt0415932,Lemming,2005,129,DramaMysteryThriller,6.7,5176,DominikMoll,GillesMarchand,Lemming,Laurent Lucas,actor,6.2194856839872745,LaurentLucas CharlotteGainsbourg CharlotteRampling AndréDussollier,dramamysterythriller dominikmoll gillesmarchand laurentlucas charlottegainsbourg charlotterampling andrédussollier,Lemming (2005)
9275,tt1196340,Inhale,2010,83,DramaThriller,6.6,6532,BaltasarKormákur,WalterDoty,État de choc,Dermot Mulroney,actor,6.21943422554865,DermotMulroney DianeKruger SamShepard RosannaArquette,dramathriller baltasarkormákur walterdoty dermotmulroney dianekruger samshepard rosannaarquette,État de choc (2010)
9276,tt0039881,T-Men,1947,92,CrimeFilm-NoirThriller,6.9,3648,AnthonyMann,JohnC.Higgins,La brigade du suicide,Dennis O'Keefe,actor,6.2193242111142135,DennisO'Keefe WallaceFord AlfredRyder MaryMeade,crimefilm-noirthriller anthonymann johnc.higgins denniso'keefe wallaceford alfredryder marymeade,La brigade du suicide (1947)
9277,tt7587876,Hope Gap,2019,100,DramaRomance,6.7,5164,WilliamNicholson,WilliamNicholson,Hope Gap,Annette Bening,actress,6.219294523272776,AnnetteBening BillNighy JoshO'Connor AiyshaHart,dramaromance williamnicholson williamnicholson annettebening billnighy josho'connor aiyshahart,Hope Gap (2019)
9278,tt1502396,Alamar,2009,73,DocumentaryDrama,7.2,2531,PedroGonzález-Rubio,PedroGonzález-Rubio,Alamar,Jorge Machado,actor,6.2192873488068,JorgeMachado RobertaPalombini NatanMachadoPalombini NestórMarín,documentarydrama pedrogonzález-rubio pedrogonzález-rubio jorgemachado robertapalombini natanmachadopalombini nestórmarín,Alamar (2009)
9279,tt0043801,Meshi,1951,97,Drama,7.7,1675,MikioNaruse,ToshirôIde,Le repas,Ken Uehara,actor,6.21921274601687,KenUehara SetsukoHara YukikoShimazaki YôkoSugi,drama mikionaruse toshirôide kenuehara setsukohara yukikoshimazaki yôkosugi,Le repas (1951)
9280,tt0026276,The Devil Is a Woman,1935,79,ComedyDramaRomance,6.9,3641,JosefvonSternberg,PierreLouÿs,La femme et le pantin,Marlene Dietrich,actress,6.219157850633707,MarleneDietrich LionelAtwill EdwardEverettHorton AlisonSkipworth,comedydramaromance josefvonsternberg pierrelouÿs marlenedietrich lionelatwill edwardeveretthorton alisonskipworth,La femme et le pantin (1935)
9281,tt0023825,Bombshell,1933,96,ComedyDramaRomance,7.1,2814,VictorFleming,JohnLeeMahin,Mademoiselle Volcan,Jean Harlow,actress,6.219148630186237,JeanHarlow LeeTracy FrankMorgan FranchotTone,comedydramaromance victorfleming johnleemahin jeanharlow leetracy frankmorgan franchottone,Mademoiselle Volcan (1933)
9282,tt7262882,Master Z: The Ip Man Legacy,2018,107,ActionBiographyCrime,6.5,8824,Woo-PingYuen,EdmondWong,Master Z: The Ip Man Legacy,Jin Zhang,actor,6.219134342478714,JinZhang DaveBautista MichelleYeoh TonyJaa,actionbiographycrime woo-pingyuen edmondwong jinzhang davebautista michelleyeoh tonyjaa,Master Z: The Ip Man Legacy (2018)
9283,tt0258967,The Unsaid,2001,111,CrimeDramaMystery,6.6,6505,TomMcLoughlin,ChristopherMurphey,Sous le silence,Andy Garcia,actor,6.219108078082844,AndyGarcia VincentKartheiser TrevorBlumas ChelseaField,crimedramamystery tommcloughlin christophermurphey andygarcia vincentkartheiser trevorblumas chelseafield,Sous le silence (2001)
9284,tt0139820,The Red Angel,1966,95,DramaRomanceWar,7.8,1567,YasuzôMasumura,YoriyoshiArima,L'Ange rouge,Ayako Wakao,actress,6.219091353935334,AyakoWakao ShinsukeAshida YûsukeKawazu RankoAkagi,dramaromancewar yasuzômasumura yoriyoshiarima ayakowakao shinsukeashida yûsukekawazu rankoakagi,L'Ange rouge (1966)
9285,tt0054759,Come September,1961,112,ComedyRomance,6.9,3637,RobertMulligan,StanleyShapiro,Le rendez-vous de septembre,Rock Hudson,actor,6.219062750986486,RockHudson GinaLollobrigida SandraDee BobbyDarin,comedyromance robertmulligan stanleyshapiro rockhudson ginalollobrigida sandradee bobbydarin,Le rendez-vous de septembre (1961)
9286,tt0033774,Johnny Eager,1941,107,CrimeFilm-NoirThriller,7.0,3171,MervynLeRoy,JohnLeeMahin,Johnny roi des gangsters,Robert Taylor,actor,6.219055056618508,RobertTaylor LanaTurner EdwardArnold VanHeflin,crimefilm-noirthriller mervynleroy johnleemahin roberttaylor lanaturner edwardarnold vanheflin,Johnny roi des gangsters (1941)
9287,tt0038700,The Locket,1946,85,CrimeDramaFilm-Noir,7.1,2811,JohnBrahm,SheridanGibney,Le médaillon,Laraine Day,actress,6.219053611880192,LaraineDay RobertMitchum BrianAherne GeneRaymond,crimedramafilm-noir johnbrahm sheridangibney laraineday robertmitchum brianaherne generaymond,Le médaillon (1946)
9288,tt0765447,Evening,2007,117,DramaRomance,6.4,13684,LajosKoltai,SusanMinot,Le temps d'un été,Vanessa Redgrave,actress,6.219046634267397,VanessaRedgrave ToniCollette ClaireDanes PatrickWilson,dramaromance lajoskoltai susanminot vanessaredgrave tonicollette clairedanes patrickwilson,Le temps d'un été (2007)
9289,tt0127722,Another Day in Paradise,1998,101,CrimeDramaThriller,6.5,8813,LarryClark,EddieLittle,Another Day in Paradise,James Woods,actor,6.219042971638127,JamesWoods MelanieGriffith VincentKartheiser NatashaGregsonWagner,crimedramathriller larryclark eddielittle jameswoods melaniegriffith vincentkartheiser natashagregsonwagner,Another Day in Paradise (1998)
9290,tt6053948,Sunday's Illness,2018,113,Drama,6.9,3635,RamónSalazar,RamónSalazar,La maladie du dimanche,Bárbara Lennie,actress,6.219015191199581,BárbaraLennie SusiSánchez GretaFernández BrunaGonzález,drama ramónsalazar ramónsalazar bárbaralennie susisánchez gretafernández brunagonzález,La maladie du dimanche (2018)
9291,tt0087373,The Dog Who Stopped the War,1984,92,ComedyDramaFamily,7.5,1932,AndréMelançon,RogerCantin,La Guerre des tuques,Cédric Jourde,actor,6.21899598990049,CédricJourde Marie-PierreA.D'Amour JulienElie MinhVuDuc,comedydramafamily andrémelançon rogercantin cédricjourde marie-pierrea.d'amour julienelie minhvuduc,La Guerre des tuques (1984)
9292,tt0062907,We'll Live Till Monday,1968,106,DramaRomance,7.9,1472,StanislavRostotskiy,GeorgiPolonsky,Attendons jusqu'à lundi,Vyacheslav Tikhonov,actor,6.218978543366576,VyacheslavTikhonov IrinaPechernikova NinaMenshikova MikhailZimin,dramaromance stanislavrostotskiy georgipolonsky vyacheslavtikhonov irinapechernikova ninamenshikova mikhailzimin,Attendons jusqu'à lundi (1968)
